cinema_name,street,suburb,postcode,cinema_type,latitude,longitude,state
Campbell Town and Circuit,nan,Wilmot,7310,Touring Circuit,-41.387312,146.175939,TAS
Campbell Town and Circuit,nan,Sheffield,7306,Touring Circuit,-41.382171,146.324769,TAS
Campbell Town and Circuit,nan,Railton,7305,Touring Circuit,-41.345924,146.422873,TAS
Thompson's Hall,nan,Saint Helens,7216,Indoor Cinema,-41.316045,148.234705,TAS
Saint Helens,nan,Saint Helens,7216,Indoor Cinema,-41.316009,148.23344,TAS
Public Hall,nan,Gravelly Beach,7276,Indoor Cinema,-41.289148,146.97547600000001,TAS
Saint Columba,nan,Pyengana,7216,Indoor Cinema,-41.288817,148.006679,TAS
A. A. Lockett,nan,Gravelly Beach,7276,Indoor Cinema,-41.288654,146.975892,TAS
Public Hall,nan,Lilydale,7268,Indoor Cinema,-41.252734000000004,147.215467,TAS
Ringarooma,nan,Ringarooma,7263,Indoor Cinema,-41.24145,147.735768,TAS
N. Brown Touring,nan,Ringarooma,7263,Touring Circuit,-41.241371,147.73523799999998,TAS
Capitol,nan,Latrobe,7307,Indoor Cinema,-41.235369,146.410292,TAS
Alicia,nan,Beaconsfield,7270,Indoor Cinema,-41.201159999999994,146.81684199999998,TAS
Starlight,nan,Devonport,7310,Drive-In,-41.18375,146.337718,TAS
Star,nan,Devonport,7310,Indoor Cinema,-41.180556,146.346389,TAS
Charlie's Cinema,nan,Branxholm,7261,Indoor Cinema,-41.167634,147.74176200000002,TAS
Leven,nan,Ulverstone,7315,Indoor Cinema,-41.166667,146.166667,TAS
Campbell Town and Circuit,nan,Port Sorrell,7307,Touring Circuit,-41.164151000000004,146.553503,TAS
Lyric,nan,Scottsdale,7260,Indoor Cinema,-41.160773,147.516925,TAS
Charlie's Cinema,nan,Derby,7264,Indoor Cinema,-41.145165000000006,147.800253,TAS
Town Hall,nan,Penguin,7316,Indoor Cinema,-41.112941,146.071914,TAS
Georgetown,nan,George Town,7253,Indoor Cinema,-41.106771,146.823734,TAS
Public Hall,nan,Winneleah,7265,Indoor Cinema,-41.098657,147.826377,TAS
N. Brown,nan,Pioneer,7264,Indoor Cinema,-41.082532,147.933244,TAS
N. Brown Touring,nan,Pioneer,7264,Touring Circuit,-41.082496,147.933424,TAS
Public Hall,nan,Pioneer,7264,Indoor Cinema,-41.08242,147.933827,TAS
Burnie,nan,Burnie,7320,Indoor Cinema,-41.063611,145.891944,TAS
Starlight,nan,Burnie,7320,Drive-In,-41.052414,145.90683700000002,TAS
Starlight,nan,Somerset,7322,Drive-In,-41.041762,145.83341000000001,TAS
Wynyard,nan,Wynyard,7325,Indoor Cinema,-40.989167,145.725009,TAS
Public Hall,nan,Gladstone,7264,Indoor Cinema,-40.96047,148.009922,TAS
N. Brown Touring,nan,Gladstone,7264,Touring Circuit,-40.959963,148.009603,TAS
