id,latitude,longitude,australian_states_id,locality_types_id,film_weekly_cinema_types_id,street,suburb,postcode,cinema_name,exhibitor_name,capacity,shortname,description,description,helper column
71,-42.555893,146.834277,8,3,3,,Hamilton,7140,W. St. Hill,"4 Proctors Rd. Dynnyrne, Hobart",150,TAS,Touring Circuit,Rural,0
72,-42.534687,147.362789,8,3,3,,Colebrook,7027,W. St. Hill,"4 Proctors Rd. Dynnyrne, Hobart",100,TAS,Touring Circuit,Rural,1
73,-42.534517,147.363505,8,3,3,,Colebrook,7027,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,0
74,-42.534351,147.364112,8,3,3,,Colebrook,7027,"Cowling, Cruickshank & Douglas","8 Station Street, Moonah",NULL,TAS,Touring Circuit,Rural,1
75,-42.529355,147.199551,8,3,3,,Kempton,7030,Campbell Town and Circuit,"A. D. & A. E. Bye, Box 9, P.O. Campbell Town",NULL,TAS,Touring Circuit,Rural,0
76,-42.508049,147.911892,8,3,3,,Tribunna,7190,"Cowling, Cruickshank & Douglas","8 Station Street, Moonah",NULL,TAS,Touring Circuit,Rural,1
77,-42.508005,147.913156,8,3,1,,Triabunna,7190,Public Hall,Ray N. Lewis,250,TAS,Indoor Cinema,Rural,0
78,-42.507383,147.91156,8,3,3,,Triabunna,7190,Frank Ward,"Auvergne Ave., New Town, Hobart",200,TAS,Touring Circuit,Rural,1
79,-42.485845,146.7137,8,3,3,,Ouse,7140,"Cowling, Cruickshank & Douglas","8 Station Street, Moonah",NULL,TAS,Touring Circuit,Rural,0
80,-42.48583,146.713158,8,3,3,,Ouse,7140,W. St. Hill,"4 Proctors Rd. Dynnyrne, Hobart",200,TAS,Touring Circuit,Rural,1
81,-42.454439,147.461533,8,3,3,,Tunnack,7120,W. St. Hill,"4 Proctors Rd. Dynnyrne, Hobart",120,TAS,Touring Circuit,Rural,0
82,-42.453931,147.461566,8,3,3,,Tunnack,7120,Cowling and Maum,Cowling and Maum,NULL,TAS,Touring Circuit,Rural,1
83,-42.453326,147.461549,8,3,3,,Tunnack,7120,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,0
84,-42.384368,147.009084,8,3,3,,Bothwell,7030,Campbell Town and Circuit,"A. D. & A. E. Bye, Box 9, P.O. Campbell Town",NULL,TAS,Touring Circuit,Rural,1
85,-42.356435,147.406804,8,3,3,,Parratah,7120,W. St. Hill,"4 Proctors Rd. Dynnyrne, Hobart",120,TAS,Touring Circuit,Rural,0
86,-42.355764,147.406797,8,3,3,,Parratah,7120,Cowling and Maum,Cowling and Maum,NULL,TAS,Touring Circuit,Rural,1
87,-42.354654,147.406662,8,3,3,,Parattah,7120,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,0
88,-42.300245,147.370999,8,3,1,,Oatlands,7120,Roxy,M. P. Jones,250,TAS,Indoor Cinema,Rural,1
89,-42.297051,146.445926,8,3,3,,Tarraleah,7140,Hydro Electric,Hydro Electric Circuit: 3 tours,NULL,TAS,Touring Circuit,Rural,0
90,-42.153477,145.328124,8,3,1,,Strahan,7468,Pontifex,H. Luttrell,200,TAS,Indoor Cinema,Rural,1
91,-42.141653,147.421897,8,3,3,,Tunbridge,7120,W. St. Hill,"4 Proctors Rd. Dynnyrne, Hobart",150,TAS,Touring Circuit,Rural,0
92,-42.141522,147.421623,8,3,3,,Tunbridge,7120,R. Perry,R. Perry,250,TAS,Touring Circuit,Rural,1
